Company Name,Acct #,Dialed,L14 Dials,LTO,TZ,City,State,PWC,MOR,Days,Last Note,Campaign,Facebook,"Name (Last, First)",YELP,Google Advertiser,Association,Websites,Craigslist,Thumbtack,YellowPages,Better Business Bureau,Nextdoor,Houzz,High Needs,Pro Name,Pro Count,Con Name,Con Count,Bad Name,Bad Count,Local Count,Score,Score2,Combo
Ervin Architecture,126307472,N,0, - ,EST,"1228 E 7th Ave Ste 200, Tampa, FL, 33605",FL,"Architects, Designers & Engineers",T,0,5/17/2022,,N,http://www.ervinarchitecture.com/,N,N,N,N,N,N,N,N,N,N,N,1,0,0,0,0,0,0,3,3,6
Event Pro Lighting,126308214,N,0, - ,CST,"2099 Thomas Rd Ste 11, Memphis, TN, 38134",TN,Electrical,T,0,5/17/2022,,N,https://eventpro.lighting/contact,N,N,N,N,N,N,N,N,N,N,N,1,1,1,1,0,0,0,1,2,3
Executive Personal Computers Inc,126308637,N,0, - ,EST,"680 Clemson Rd, Columbia, SC, 29229",SC,Audio/Visual,T,0,5/17/2022,,N,http://www.epcusa.com/,N,N,N,N,N,N,N,N,N,N,N,1,0,1,0,0,0,0,1,1,2
Expert Rug Cleaning Beverly Hills 90210,126275438,N,0, - ,PST,"Beverly Hills, CA, 90210",CA,Cleaning Services,T,0,5/16/2022,,N,,N,N,N,N,N,N,N,N,N,N,N,1,,0,,0,,,3,,
Expert Rug Cleaning Westminster 92683,126308712,N,0, - ,PST,"Lake Forest, CA, 92630",CA,Cleaning Services,T,0,5/17/2022,,N,,N,N,N,N,N,N,N,N,N,N,N,1,,0,,0,,,3,,
Express Yourself Paint,126308196,N,0, - ,EST,"4801 Glenwood Ave Ste 200, Raleigh, NC, 27612",NC,Painting,T,0,5/17/2022,,N,https://expressyourselfpaint.com/,N,N,N,N,N,N,N,N,N,N,N,1,0,1,0,0,0,0,1,1,2
Feral Cat Removal,126307175,N,0, - ,EST,"1218 Connecticut Ave NW, Washington, DC, 20036",DC,Waste Material Removal,T,0,5/17/2022,,N,,N,N,N,N,N,N,N,N,N,N,N,1,,0,,0,,,3,,
Digger Metal Fabrication,126307868,N,0, - ,EST,"1929 High St, Longwood, FL, 32750",FL,HVAC,T,0,5/17/2022,,N,http://diggermetalfabrication.yolasite.com/contact-us.php,N,N,N,N,N,N,N,N,N,N,N,1,0,1,1,0,0,0,1,-1,0
Final stop security,126308300,N,0, - ,EST,"2180 elmwood, Buffalo, NY, 14216",NY,Security Services,T,0,5/17/2022,,N,https://www.facebook.com/Final-stop-security-910658792333920/,N,N,N,N,N,N,N,N,N,N,N,1,1,0,0,0,0,0,3,6,9
Firewood Company,126307343,N,0, - ,PST,"280 E Blithedale Ave, Mill Valley, CA, 94941",CA,Lawn Care,T,0,5/17/2022,,N,,N,N,N,N,N,N,N,N,N,N,N,1,,1,,0,,,1,,
Waste Management,126307274,N,0, - ,,,,Waste Material Removal,T,0,5/17/2022,,N,http://www.newmoa.org/,N,N,N,N,N,N,N,N,N,N,N,1,0,1,1,0,0,0,1,-1,0
Sacramento Raccoon Removal,126307759,N,0, - ,PST,"Sacramento, CA, 95816",CA,Waste Material Removal,T,0,5/17/2022,,N,http://sacramentoraccoon.com/,N,N,N,N,N,N,N,N,N,N,N,1,0,1,1,0,0,0,1,-1,0
FIRST ONSITE Property Restoration,126307802,N,0, - ,,,,Additions and Remodels,T,0,5/17/2022,,N,,N,N,N,N,N,N,N,N,N,N,N,1,,0,,0,,,3,,
Fountains at River Oaks Apartments,126307836,N,0, - ,PST,"373 River Oaks Cir, San Jose, CA, 95134",CA,Fountain and Pond,T,0,5/17/2022,,N,https://www.essexapartmenthomes.com/apartments/san-jose/fountains-at-river-oaks,N,N,N,N,N,N,N,N,N,N,N,1,0,1,2,0,0,0,1,-3,-2
Floor Coverings International concord,126308539,N,0, - ,EST,"Concord, CA, 94518",NY,Flooring,T,0,5/17/2022,,N,http://concordca.floorcoveringsinternational.com/,N,N,N,N,N,N,N,N,N,N,N,1,1,1,1,0,0,0,1,2,3
Florida Glass Block Inc,126308565,N,0, - ,EST,"2226 SE 20th Pl, Cape Coral, FL, 33990",FL,Doors & Windows,T,0,5/17/2022,,N,,N,N,N,N,N,N,N,N,N,N,N,1,,0,,0,,,3,,
Advanced Metal Fabrication,126308870,N,0, - ,EST,"225 W Sophia St, Maumee, OH, 43537",OH,HVAC,T,0,5/17/2022,,N,http://advancedmetalfabltd.com/,N,N,N,N,N,N,N,N,N,N,N,1,0,1,1,0,0,0,1,-1,0
Fluid Lighting,126308093,N,0, - ,EST,"105 Arden St, New York, NY, 10040",NY,Electrical,T,0,5/17/2022,,N,,N,N,N,N,N,N,N,N,N,N,N,1,,0,,0,,,3,,
Flynn Plumbing Inc,126308743,N,0, - ,PST,"28051 Lucero, Mission Viejo, CA, 92692",CA,Plumbing,T,0,5/17/2022,,N,http://www.theplumbingco.net/,N,N,N,N,N,N,N,N,N,N,N,1,1,0,0,0,0,0,3,6,9
Foltz Welding,126307677,N,0, - ,CST,"1891 S Delmar Ave, Hartford, IL, 62048",IL,Welder,T,0,5/17/2022,,N,http://foltzwelding.com/contact,N,N,N,N,N,N,N,N,N,N,N,1,1,1,0,0,0,0,1,4,5
Fossil Stone,126307413,N,0, - ,PST,"204 Pine St, Seattle, WA, 98101",WA,Stone & Tile,T,0,5/17/2022,,N,https://www.fossilandstone.com/shamans/,N,N,N,N,N,N,N,N,N,N,N,1,0,0,0,0,0,0,3,3,6
L Wong Engineering,126307366,N,0, - ,PST,"485 14th St, San Francisco, CA, 94103",CA,"Architects, Designers & Engineers",T,0,5/17/2022,,N,http://lwongengineering.com/,N,N,N,N,N,N,N,N,N,N,N,1,0,1,1,0,0,0,1,-1,0
Fountains,126307389,N,0, - ,PST,"5997 NW Altitude Ln, Silverdale, WA, 98383",WA,Fountain and Pond,T,0,5/17/2022,,N,https://sagrainc.com/contact_us/,N,N,N,N,N,N,N,N,N,N,N,1,0,0,0,0,0,0,3,3,6
Fountains At Carondelet All Rights Reserved,126307656,N,0, - ,CST,"7851 Bandero Dr, St Louis, MO, 63111",MO,Fountain and Pond,T,0,5/17/2022,,N,https://www.livecarondelet.com/residents,N,N,N,N,N,N,N,N,N,N,N,1,0,0,1,0,0,0,3,1,-1
Fountains at Point West Apartments,126307769,N,0, - ,PST,"1761 Heritage Ln, Sacramento, CA, 95815",CA,Fountain and Pond,T,0,5/17/2022,,N,https://www.fountainsatpointwest.com/,N,N,N,N,N,N,N,N,N,N,N,1,0,1,0,0,0,0,1,1,-1
Fountains at Temecula,126308817,N,0, - ,PST,"27270 Nicolas Rd, Temecula, CA, 92591",CA,Fountain and Pond,T,0,5/17/2022,,N,,N,N,N,N,N,N,N,N,N,N,N,1,,0,,0,,,3,,-1
Fountains Of Compassion,126308084,N,0, - ,EST,"10 Lawton Ave, Hartsdale, NY, 10530",NY,Fountain and Pond,T,0,5/17/2022,,N,https://fountainsofcompassion.org/,N,N,N,N,N,N,N,N,N,N,N,1,0,0,1,0,0,0,3,1,-1
Pivot Engineers,126307958,N,0, - ,CST,"1000 Westbank Dr Ste 5B, Austin, TX, 78746",TX,"Architects, Designers & Engineers",T,0,5/17/2022,,N,https://pivotengineers.com/contact,N,N,N,N,N,N,N,N,N,N,N,1,0,1,1,0,0,0,1,-1,0
Fountains of Fair Oaks,126307770,N,0, - ,PST,"4800 Sunset Ter, Fair Oaks, CA, 95628",CA,Fountain and Pond,T,0,5/17/2022,,N,https://www.thefountainsatfairoaks.com/,N,N,N,N,N,N,N,N,N,N,N,1,0,0,0,0,0,0,3,3,-1
Fountains of Hope,126308422,N,0, - ,EST,"2300 Lakewood Ranch Blvd, Lakewood Ranch, FL, 3424",FL,Fountain and Pond,T,0,5/17/2022,,N,,N,N,N,N,N,N,N,N,N,N,N,1,,0,,0,,,3,,-1
BJ s Firewood Company,126307978,N,0, - ,EST,"5586 W 1100 N, Fountaintown, IN, 46130",IN,Lawn Care,T,0,5/17/2022,,N,https://bjs-firewood-company.business.site/?utm_source=gmb&utm_medium=referral,N,N,N,N,N,N,N,N,N,N,N,1,0,1,1,0,0,0,1,-1,0
Fountains of the Living Water Christian Mission,126308347,N,0, - ,PST-2,"2412 Rose St, Honolulu, HI, 96819",HI,Fountain and Pond,T,0,5/17/2022,,N,,N,N,N,N,N,N,N,N,N,N,N,1,,0,,0,,,3,,-1
Fountains Southend,126308030,N,0, - ,EST,"126 New Bern St, Charlotte, NC, 28203",NC,Fountain and Pond,T,0,5/17/2022,,N,https://www.fountainssouthend.com/,N,N,N,N,N,N,N,N,N,N,N,1,0,0,0,0,0,0,3,3,6
Fraser Construction,126307422,N,0, - ,PST,"3805 Violet Gln, Escondido, CA, 92025",CA,Additions and Remodels,T,0,5/17/2022,,N,http://fraserdecksandpatiocovers.com/,N,N,N,N,N,N,N,N,N,N,N,1,2,0,0,0,0,0,3,9,12
Fresno Raccoon Removal,126308472,N,0, - ,PST,"Fresno, CA, 93704",CA,Waste Material Removal,T,0,5/17/2022,,N,http://www.fresnoraccoon.com/,N,N,N,N,N,N,N,N,N,N,N,1,0,0,0,0,0,0,3,3,6
Friendly Flooring,126307218,N,0, - ,EST,"4075 Wilson Blvd, Arlington, VA, 22203",VA,Flooring,T,0,5/17/2022,,N,,N,N,N,N,N,N,N,N,N,N,N,1,,0,,0,,,3,,
Friendly Movers,126307236,N,0, - ,EST,"1629 K St NW Unit 303, Washington, DC, 20006",DC,Moving,T,0,5/17/2022,,N,https://www.friendlymovers.com/,N,N,N,N,N,N,N,N,N,N,N,1,1,0,0,0,0,0,3,6,9
Fusion Fabrication LLC,126308259,N,0, - ,CST,"138 Westbank Expy, Westwego, LA, 70094",LA,Welder,T,0,5/17/2022,,N,https://www.facebook.com/FusionFabricationMetalWorksAndDesign/,N,N,N,N,N,N,N,N,N,N,N,1,2,1,1,0,0,0,1,5,6
Galvin Tree Cutting,126308102,N,0, - ,EST,"1402 Bronx River Ave, Bronx, NY, 10472",NY,Tree Service,T,0,5/17/2022,,N,http://galvintreecutting.com/,N,N,N,N,N,N,N,N,N,N,N,1,0,0,0,0,0,0,3,3,6
Garage Grill Herriman,126308150,N,0, - ,MST,"4874 W 12600 S, Herriman, UT, 84096",UT,Garage Doors,T,0,5/17/2022,,N,,N,N,N,N,N,N,N,N,N,N,N,1,,1,,0,,,1,,
Gas Grill Repair Experts,126273906,N,0, - ,EST,"270 Martine Ave, White Plains, NY, 10601",NY,Additions and Remodels,T,1,5/16/2022,,N,,N,N,N,N,N,N,N,N,N,N,N,1,,1,,0,,,1,,
Gas Grill Repair Experts,126307213,N,0, - ,EST,"5701 Duke St, Alexandria, VA, 22304",VA,Additions and Remodels,T,0,5/17/2022,,N,,N,N,N,N,N,N,N,N,N,N,N,1,,1,,0,,,1,,
General Contractors,126307529,N,0, - ,PST,"2301 Blake St, Denver, CO, 80205",CA,Additions and Remodels,T,0,5/17/2022,,N,http://www.jwconstructiongroup.net/,N,N,N,N,N,N,N,N,N,N,N,1,1,0,0,0,0,0,3,6,9
Genmet Superior Metal Fabrication,126308113,N,0, - ,CST,"10245 N Enterprise Dr, Mequon, WI, 53092",WI,HVAC,T,0,5/17/2022,,N,https://www.genmet.com/,N,N,N,N,N,N,N,N,N,N,N,1,0,1,0,0,0,0,1,1,2
Geo Hydro Engineers,126308047,N,0, - ,EST,"2748 Interstate St Ste A, Charlotte, NC, 28208",NC,"Architects, Designers & Engineers",T,0,5/17/2022,,N,http://geohydro.com/,N,N,N,N,N,N,N,N,N,N,N,1,0,1,0,0,0,0,1,1,2
Gilman Hall Garage,126273902,N,0, - ,EST,"353 E 17th St, New York, NY, 10003",NY,Garage Doors,T,1,5/16/2022,,N,https://www.lazparking.com/?utm_source=bing&utm_medium=yext,N,N,N,N,N,N,N,N,N,N,N,1,0,0,0,0,0,0,3,3,6
Glass Block,126308426,N,0, - ,EST,"4401 Ashton Rd, Sarasota, FL, 34233",FL,Doors & Windows,T,0,5/17/2022,,N,,N,N,N,N,N,N,N,N,N,N,N,1,,0,,0,,,3,,
Glass Pros,126308665,N,0, - ,EST,"PO Box 53476, Knoxville, TN, 37950",TN,Doors & Windows,T,0,5/17/2022,,N,http://www.glassprostn.com/,N,N,N,N,N,N,N,N,N,N,N,1,0,0,0,0,0,0,3,3,6
Glendale Fence Company,126275429,N,0, - ,PST,"821 N Hollywood Way, Burbank, CA, 91505",CA,Fences,T,0,5/16/2022,,N,http://www.glendalefenceco.com/index.html,N,N,N,N,N,N,N,N,N,N,N,1,1,0,0,0,0,0,3,6,9
Globe Lighting,126307728,N,0, - ,PST,"2700 NW Front Ave, Portland, OR, 97210",OR,Electrical,T,0,5/17/2022,,N,http://www.globelighting.com/,N,N,N,N,N,N,N,N,N,N,N,1,1,0,0,0,0,0,3,6,9
Golden Rain Foundation of Laguna Woods,126308718,N,0, - ,PST,"164 Avenida Majorca, Laguna Woods, CA, 92637",CA,Concrete & Masonry,T,0,5/17/2022,,N,,N,N,N,N,N,N,N,N,N,N,N,1,,0,,0,,,3,,
Gomez Demolition,126275667,N,0, - ,CST,"9009 North Loop E, Houston, TX, 77029",TX,Demolition Service,T,0,5/16/2022,,N,,N,N,N,N,N,N,N,N,N,N,N,1,,0,,0,,,3,,
Great Northwest Firewood Company,126307388,N,0, - ,PST,"4502 NE 4th Ave, Renton, WA, 98059",WA,Lawn Care,T,0,5/17/2022,,N,,N,N,N,N,N,N,N,N,N,N,N,1,,1,,0,,,1,,
Green Knight Security,126275483,N,0, - ,PST,"7080 Hollywood Blvd Ste 1100, Los Angeles, CA, 900",CA,Security Services,T,0,5/16/2022,,N,https://greenknightsecurity.com/careers,N,N,N,N,N,N,N,N,N,N,N,1,1,0,0,0,0,0,3,6,9
Green Lighting Wholesale,126308021,N,0, - ,EST,"950 Taylor Station Rd Ste I, Columbus, OH, 43230",OH,Electrical,T,0,5/17/2022,,N,https://www.greenlightingwholesale.com/,N,N,N,N,N,N,N,N,N,N,N,1,1,1,1,0,0,0,1,2,3
Greenforce Outdoor Light,126307347,N,0, - ,PST,"601 Van Ness Ave, San Francisco, CA, 94102",CA,Landscaping & Sprinklers,T,0,5/17/2022,,N,http://www.greenforcewindowpro.com/,N,N,N,N,N,N,N,N,N,N,N,1,1,0,0,0,0,0,3,6,9
GRILL REPAIR P A,126275632,N,0, - ,CST,"6225 Chapel Hill Blvd, Plano, TX, 75093",TX,Additions and Remodels,T,0,5/16/2022,,N,,N,N,N,N,N,N,N,N,N,N,N,1,,1,,0,,,1,,
Growth Through Gardening,126308042,N,0, - ,EST,"1907 Kenwood Ave, Charlotte, NC, 28205",NC,Landscaping & Sprinklers,T,0,5/17/2022,,N,http://growththroughgardening.com/contact.html,N,N,N,N,N,N,N,N,N,N,N,1,1,0,0,0,0,0,3,6,9
GTAC Security,126307593,N,0, - ,EST,"300 E Lombard St, Baltimore, MD, 21202",MD,Security Services,T,0,5/17/2022,,N,,N,N,N,N,N,N,N,N,N,N,N,1,,0,,0,,,3,,
H F Bulifant Sons Inc Damage Restoration,126308240,N,0, - ,CST,"1727 Rhoadmiller St, Ste A, Richmond,, CA, 23220",TX,Additions and Remodels,T,0,5/17/2022,,N,http://www.bulifant.com/,N,N,N,N,N,N,N,N,N,N,N,1,0,0,0,0,0,0,3,3,6
H Point Roofing,126307363,N,0, - ,PST,"420 Teresita Blvd, San Francisco, CA, 94127",CA,Roofing & Gutters,T,0,5/17/2022,,N,,N,N,N,N,N,N,N,N,N,N,N,1,,0,,0,,,3,,
Harlem Upholstery,126307930,N,0, - ,EST,"268 Malcolm X Blvd, New York, NY, 10027",NY,Furniture Repair & Refinish,T,0,5/17/2022,,N,https://harlemupholstery.com/,N,N,N,N,N,N,N,N,N,N,N,1,1,1,1,0,0,0,1,2,3
Haxton Masonry,126308821,N,0, - ,PST,"27840 Del Rio Rd, Temecula, CA, 92590",CA,Concrete & Masonry,T,0,5/17/2022,,N,http://haxtonmasonry.com/index.html,N,N,N,N,N,N,N,N,N,N,N,1,1,0,0,0,0,0,3,6,9
Hirani Engineering and Land Surveying PC,126307915,N,0, - ,EST,"421 7th Ave, New York, NY, 10001",NY,"Architects, Designers & Engineers",T,0,5/17/2022,,N,,N,N,N,N,N,N,N,N,N,N,N,1,,1,,0,,,1,,
HiTech Window Tinting,126308417,N,0, - ,CST,"6897 Gasden Highway Ste B, Trussville, AL, 35173",AL,Doors & Windows,T,0,5/17/2022,,N,https://hitechwindowtinting.com/locations,N,N,N,N,N,N,N,N,N,N,N,1,1,1,0,0,0,0,1,4,5
Hobrecht Lighting,126307776,N,0, - ,PST,"2690 Auburn Blvd, Sacramento, CA, 95821",CA,Electrical,T,0,5/17/2022,,N,https://www.hobrechtl1.com/,N,N,N,N,N,N,N,N,N,N,N,1,0,0,0,0,0,0,3,3,6
Home Inspection Los Angeles,126275481,N,0, - ,PST,"7022 Matilija Ave, Los Angeles, CA, 91405",CA,Home Inspection,T,0,5/16/2022,,N,http://home-inspection-losangeles.com/,N,N,N,N,N,N,N,N,N,N,N,1,1,0,0,0,0,0,3,6,9
Home Inspection Solutions,126275633,N,0, - ,CST,"1106 Briarbrook Dr, Desoto, TX, 75115",TX,Home Inspection,T,0,5/16/2022,,N,,N,N,N,N,N,N,N,N,N,N,N,1,,1,,0,,,1,,
Home Security Alarms Systems,126307531,N,0, - ,MST,"7651 W 41st Ave Ste 007, Wheat Ridge, CO, 80033",CO,Security Services,T,0,5/17/2022,,N,https://denverhomesecuritysystems.net/denver-alarm-system,N,N,N,N,N,N,N,N,N,N,N,1,1,1,0,0,0,0,1,4,5
Home Security Dallas Protect Your Home,126275635,N,0, - ,CST,"3824 Cedar Springs Rd #280, Dallas, TX, 75219",TX,Security Services,T,0,5/16/2022,,N,,N,N,N,N,N,N,N,N,N,N,N,1,,0,,0,,,3,,
Home Security Specialists Co,126308327,N,0, - ,CST,"Fort Worth, TX, 76114",TX,Security Services,T,0,5/17/2022,,N,http://www.protectyourhome.com/,N,N,N,N,N,N,N,N,N,N,N,1,0,0,0,0,0,0,3,3,6
Home Staging 101,126308593,N,0, - ,MST,"5415 Cindy River Dr, Colorado Springs, CO, 80917",CO,"Architects, Designers & Engineers",T,0,5/17/2022,,N,https://www.homesin719.com/testimonials,N,N,N,N,N,N,N,N,N,N,N,1,0,1,0,0,0,0,1,1,2
Home Staging by Peggy,126308883,N,0, - ,EST,"Merritt Island, FL, 32952",FL,"Architects, Designers & Engineers",T,0,5/17/2022,,N,,N,N,N,N,N,N,N,N,N,N,N,1,,1,,0,,,1,,
Houston Water Heaters,126275700,N,0, - ,CST,"2429 Bissonnet St, Houston, TX, 77005",TX,Plumbing,T,0,5/16/2022,,N,https://txhoustonwaterheater.com/,N,N,N,N,N,N,N,N,N,N,N,1,0,0,0,0,0,0,3,3,6
Humane Raccoon Removal Fort Worth,126308316,N,0, - ,CST,"Keller, TX, 76248",TX,Waste Material Removal,T,0,5/17/2022,,N,http://www.humaneraccoonremoval.org/TX-Fort-Worth.php,N,N,N,N,N,N,N,N,N,N,N,1,0,0,1,0,0,1,3,1,5
Humane Raccoon Removal San Francisco,126307325,N,0, - ,PST,"San Francisco, CA, 94124",CA,Waste Material Removal,T,0,5/17/2022,,N,http://www.humaneraccoonremoval.org/CA-San-Francisco.php,N,N,N,N,N,N,N,N,N,N,N,1,0,0,1,0,0,1,3,1,5
Humane Raccoon Removal Wichita,126308910,N,0, - ,CST,"Wichita, KS, 67209",KS,Waste Material Removal,T,0,5/17/2022,,N,http://www.humaneraccoonremoval.org/KS-Wichita.php,N,N,N,N,N,N,N,N,N,N,N,1,0,0,1,0,0,1,3,1,5
Humphreys Partners Architects,126275543,N,0, - ,CST,"121 W Wacker Dr Ste 2000, Chicago, IL, 60601",IL,"Architects, Designers & Engineers",T,0,5/16/2022,,N,https://humphreys.com/offices/chicago,N,N,N,N,N,N,N,N,N,N,N,1,0,1,0,0,0,0,1,1,2
HVAC Commercial,126308034,N,0, - ,EST,"5300 N Tryon St, Charlotte, NC, 28213",NC,HVAC,T,0,5/17/2022,,N,,N,N,N,N,N,N,N,N,N,N,N,1,,1,,0,,,1,,
Iberville Insulations,126308652,N,0, - ,CST,"11621 Sun Belt Ct, Baton Rouge, LA, 70809",LA,Insulation,T,0,5/17/2022,,N,https://ibervillecompanies.com/form_contacts.php,N,N,N,N,N,N,N,N,N,N,N,1,0,0,1,0,0,0,3,1,4
Ideal Lighting,126308257,N,0, - ,CST,"Metairie, LA, 70003",LA,Electrical,T,0,5/17/2022,,N,http://ideallighting.net/,N,N,N,N,N,N,N,N,N,N,N,1,1,0,0,0,0,0,3,6,9
IMEX Stone,126308574,N,0, - ,EST,"3591 Old Metro Pkwy, Fort Myers, FL, 33916",FL,Stone & Tile,T,0,5/17/2022,,N,https://imexstone.net/showroom/,N,N,N,N,N,N,N,N,N,N,N,1,0,0,1,0,0,0,3,1,4
Imperial Security and Consultants,126307516,N,0, - ,EST,"1159 E 37th St, Brooklyn, NY, 11210",NY,Security Services,T,0,5/17/2022,,N,http://www.isc.nyc/security-services-contact-us,N,N,N,N,N,N,N,N,N,N,N,1,2,1,1,0,0,0,1,5,6
Indianapolis Raccoon Removal,126307974,N,0, - ,EST,"Indianapolis, IN, 46219",IN,Waste Material Removal,T,0,5/17/2022,,N,http://indianapolisraccoon.com/,N,N,N,N,N,N,N,N,N,N,N,1,0,0,0,0,0,0,3,3,6
Indy Water Heater and Softener,126307998,N,0, - ,EST,"5212 Madison Ave, Indianapolis, IN, 46227",IN,Plumbing,T,0,5/17/2022,,N,,N,N,N,N,N,N,N,N,N,N,N,1,,0,,0,,,3,,
Innovative Window Treatments,126308907,N,0, - ,,,,Doors & Windows,T,0,5/17/2022,,N,https://www.innovative-windowtreatments.com/category/motorization/,N,N,N,N,N,N,N,N,N,N,N,1,1,0,1,0,0,0,3,4,7
Inside Movers,126307438,N,0, - ,PST,"3282 Cabrillo Mesa Dr, San Diego, CA, 92123",CA,Moving,T,0,5/17/2022,,N,https://inside-movers.business.site/,N,N,N,N,N,N,N,N,N,N,N,1,1,0,0,0,0,0,3,6,9
Insulation Gurus,126307840,N,0, - ,PST,"217 San Jose Ave, San Jose, CA, 95125",CA,Insulation,T,0,5/17/2022,,N,http://www.insulationgurus.com/,N,N,N,N,N,N,N,N,N,N,N,1,1,0,0,0,0,0,3,6,9
Island Movers Oahu,126308349,N,0, - ,PST-2,"1004 Makepono St, Honolulu, HI, 96819",HI,Moving,T,0,5/17/2022,,N,https://www.islandmovers.com/about-us/contact-us,N,N,N,N,N,N,N,N,N,N,N,1,1,0,0,0,0,0,3,6,9
Island Pools of Jax,126308143,N,0, - ,EST,"6513 Haslett Dr N, Jacksonville, FL, 32277",FL,Pools,T,0,5/17/2022,,N,,N,N,N,N,N,N,N,N,N,N,N,1,,0,,0,,,3,,
Island Wide Pest Management Inc,126307805,N,0, - ,,,,Pest Control,T,0,5/17/2022,,N,,N,N,N,N,N,N,N,N,N,N,N,1,,1,,0,,,1,,
Ivan Handyman,126307310,N,0, - ,EST,"643 W Golden, Highland Park, MI, 48203",MI,Handyman,T,0,5/17/2022,,N,,N,N,N,N,N,N,N,N,N,N,N,1,,0,,0,,,3,,
J J Sheet Metal,126308432,N,0, - ,EST,"1619 50th Avenue Dr E, Bradenton, FL, 34203",FL,HVAC,T,0,5/17/2022,,N,http://www.tnfinweldingandfabrication.com/,N,N,N,N,N,N,N,N,N,N,N,1,1,0,1,0,0,0,3,4,7
J M Excavating,126307898,N,0, - ,EST,"2072 Mckees Rocks Rd, Mc Kees Rocks, PA, 15136",PA,Excavation,T,0,5/17/2022,,N,,N,N,N,N,N,N,N,N,N,N,N,1,,0,,0,,,3,,
Janus Stone,126308238,N,0, - ,EST,"5608 Grove Ave, Richmond, VA, 23226",VA,Stone & Tile,T,0,5/17/2022,,N,http://jslawpc.com/,N,N,N,N,N,N,N,N,N,N,N,1,0,0,0,0,0,0,3,3,6
Jesco Lighting,126307628,N,0, - ,PST,"455 S Grand Central Pkwy, Las Vegas, NV, 89106",NV,Electrical,T,0,5/17/2022,,N,http://www.jescolighting.com/,N,N,N,N,N,N,N,N,N,N,N,1,1,0,0,0,0,0,3,6,9
Jet Security,126308127,N,0, - ,,,,Security Services,T,0,5/17/2022,,N,http://jetsecuritypros.com/blog/,N,N,N,N,N,N,N,N,N,N,N,1,1,0,0,0,0,0,3,6,9
Jim Stone Austin Mortgage Team,126307956,N,0, - ,CST,"1011 W 40th St Ste 200, Austin, TX, 78756",TX,Stone & Tile,T,0,5/17/2022,,N,http://www.ibtx.com/jimstone,N,N,N,N,N,N,N,N,N,N,N,1,0,1,0,0,0,0,1,1,-2
Jl Biber Construction,126307705,N,0, - ,PST,"Riverside, CA, 92506",CA,Additions and Remodels,T,0,5/17/2022,,N,http://www.jlbiberconstruction.com/,N,N,N,N,N,N,N,N,N,N,N,1,1,0,0,0,0,0,3,6,9
JMC Engineering,126307301,N,0, - ,MST,"7315 N 16th St, Phoenix, AZ, 85020",AZ,"Architects, Designers & Engineers",T,0,5/17/2022,,N,http://www.jmc-eng.com/,N,N,N,N,N,N,N,N,N,N,N,1,0,1,0,0,0,0,1,1,2
Joe Can The Handyman,126307429,N,0, - ,PST,"San Diego, CA, 92104",CA,Handyman,T,0,5/17/2022,,N,http://porch.com/san-diego-ca/handymen/joe-can-the-handyman-1/pp,N,N,N,N,N,N,N,N,N,N,N,1,2,0,0,0,0,0,3,9,12
John Carpenter,126275653,N,0, - ,CST,"2100 Ross Ave Ste 10001100, Dallas, TX, 75201",TX,Carpenters,T,0,5/16/2022,,N,https://fa.ml.com/texas/dallas/john-carpenter,N,N,N,N,N,N,N,N,N,N,N,1,1,0,0,0,0,0,3,6,9
John L Carlson Architect,126307935,N,0, - ,CST,"2207 Westover Rd, Austin, TX, 78703",TX,"Architects, Designers & Engineers",T,0,5/17/2022,,N,http://johncarlsonarchitect.com/?page_id=137,N,N,N,N,N,N,N,N,N,N,N,1,0,0,0,0,0,0,3,3,6
Jones Boys Roof Care,126307407,N,0, - ,PST,"1813 130th Ave NE, Ste. 110, Bellevue, WA, 98005",WA,Roofing & Gutters,T,0,5/17/2022,,N,http://www.jonesboysonline.com/,N,N,N,N,N,N,N,N,N,N,N,1,0,0,0,0,0,0,3,3,6
JONES ELECTRIC,126307586,N,0, - ,EST,"Baltimore, MD, 21218",MD,Electrical,T,0,5/17/2022,,N,,N,N,N,N,N,N,N,N,N,N,N,1,,0,,0,,,3,,
Jovinas Upholstery,126307367,N,0, - ,PST,"1345 17th St, San Francisco, CA, 94107",CA,Furniture Repair & Refinish,T,0,5/17/2022,,N,https://jovinasuph.wordpress.com/contact/,N,N,N,N,N,N,N,N,N,N,N,1,0,1,0,0,0,0,1,1,2
Clean Sky WeeCare,126307267,N,0, - ,,,,Cleaning Services,T,0,5/17/2022,,N,https://weecare.co/daycare/clean-sky?utm_source=bing&utm_medium=organic&utm_campaign=bing-listing,N,N,N,N,N,N,N,N,N,N,N,1,1,0,0,0,1,0,3,-7,-4
JPL Security Training,126308754,N,0, - ,EST,"1500 Central Ave, Albany, NY, 12205",NY,Security Services,T,0,5/17/2022,,N,,N,N,N,N,N,N,N,N,N,N,N,1,,1,,0,,,1,,
JR Flooring,126308816,N,0, - ,PST,"Murrieta, CA, 92562",CA,Flooring,T,0,5/17/2022,,N,https://www.floortileandmore.com/,N,N,N,N,N,N,N,N,N,N,N,1,1,0,0,0,0,0,3,6,9
JRG Asbestos Research,126307181,N,0, - ,,,,Testing & Abatement Services,T,0,5/17/2022,,N,https://jrgasbestosresearch.com/about-us,N,N,N,N,N,N,N,N,N,N,N,1,0,1,0,0,0,0,1,1,2
